Id,SalePrice
1001,60000
1002,110000
1003,201000
1004,110000
1005,192000
1006,135000
1007,175000
1008,100000
1009,250000
1010,140000
1011,140000
1012,145000
1013,140000
1014,132000
1015,132000
1016,155000
1017,206000
1018,158000
1019,180000
1020,215000
1021,157000
1022,206000
1023,140000
1024,192000
1025,235000
1026,110000
1027,141000
1028,385000
1029,115000
1030,88000
1031,140000
1032,140000
1033,220000
1034,284000
1035,110000
1036,108000
1037,385000
1038,385000
1039,115000
1040,84500
1041,145000
1042,140000
1043,207500
1044,285000
1045,315000
1046,140000
1047,386250
1048,152000
1049,116000
1050,108000
1051,206000
1052,159895
1053,140000
1054,141000
1055,280000
1056,140000
1057,202665
1058,206000
1059,339750
1060,145000
1061,172500
1062,110000
1063,140000
1064,140000
1065,140000
1066,280000
1067,174000
1068,155000
1069,145000
1070,110000
1071,118500
1072,140000
1073,145000
1074,155000
1075,206000
1076,140000
1077,145000
1078,141000
1079,140000
1080,118500
1081,140000
1082,142000
1083,187100
1084,140000
1085,174000
1086,137500
1087,100000
1088,280000
1089,130000
1090,199900
1091,87500
1092,151000
1093,140000
1094,140000
1095,108000
1096,174000
1097,115000
1098,140000
1099,115000
1100,175000
1101,110000
1102,100000
1103,127000
1104,140000
1105,88000
1106,315000
1107,211000
1108,168000
1109,220000
1110,284000
1111,174000
1112,140000
1113,110000
1114,132000
1115,110000
1116,385000
1117,155000
1118,110000
1119,158000
1120,118500
1121,113000
1122,206000
1123,108000
1124,110000
1125,174000
1126,132000
1127,159895
1128,285000
1129,183500
1130,144000
1131,140000
1132,118500
1133,140000
1134,215000
1135,174000
1136,110000
1137,140000
1138,85000
1139,280000
1140,140000
1141,110000
1142,190000
1143,385000
1144,108000
1145,100000
1146,145000
1147,176000
1148,108000
1149,140000
1150,140000
1151,110000
1152,141000
1153,140000
1154,110000
1155,155000
1156,175000
1157,158000
1158,207500
1159,201000
1160,140000
1161,148500
1162,385000
1163,100000
1164,137500
1165,156000
1166,201000
1167,239000
1168,192000
1169,140000
1170,315000
1171,158000
1172,140000
1173,151000
1174,145000
1175,155000
1176,305000
1177,144000
1178,140000
1179,108000
1180,108000
1181,348000
1182,385000
1183,385000
1184,132500
1185,129000
1186,140000
1187,145000
1188,235000
1189,180000
1190,174000
1191,145000
1192,172500
1193,140000
1194,153500
1195,155000
1196,174000
1197,159895
1198,140000
1199,206000
1200,159000
1201,100000
1202,195000
1203,108000
1204,206000
1205,140000
1206,187000
1207,128500
1208,214000
1209,155000
1210,326000
1211,178000
1212,200000
1213,110000
1214,142000
1215,118500
1216,110000
1217,126000
1218,222000
1219,118500
1220,115000
1221,118500
1222,140000
1223,141000
1224,145000
1225,174000
1226,158000
1227,159895
1228,110000
1229,385000
1230,158000
1231,140000
1232,140000
1233,145000
1234,140000
1235,140000
1236,140000
1237,172500
1238,159895
1239,172500
1240,206000
1241,206000
1242,250000
1243,137500
1244,440000
1245,140000
1246,187000
1247,197000
1248,135000
1249,140000
1250,118500
1251,167000
1252,202665
1253,100000
1254,187000
1255,174000
1256,140000
1257,440000
1258,108000
1259,174000
1260,155000
1261,181000
1262,139000
1263,145000
1264,140000
1265,172500
1266,155000
1267,140000
1268,386250
1269,190000
1270,118500
1271,167000
1272,140000
1273,128500
1274,158000
1275,140000
1276,145000
1277,155000
1278,158000
1279,239000
1280,110000
1281,214000
1282,165000
1283,145000
1284,145000
1285,140000
1286,145000
1287,140000
1288,145000
1289,236500
1290,159895
1291,137500
1292,88000
1293,140000
1294,140000
1295,110000
1296,145000
1297,175000
1298,148000
1299,385000
1300,139000
1301,214900
1302,145000
1303,336000
1304,250000
1305,130000
1306,220000
1307,202665
1308,129500
1309,108000
1310,175000
1311,289000
1312,206000
1313,235000
1314,205000
1315,110000
1316,140000
1317,250000
1318,195000
1319,250000
1320,110000
1321,140000
1322,110000
1323,190000
1324,100000
1325,250000
1326,110000
1327,108000
1328,132000
1329,185000
1330,174000
1331,250000
1332,145000
1333,110000
1334,110000
1335,140000
1336,140000
1337,145000
1338,110000
1339,214900
1340,110000
1341,110000
1342,158000
1343,233230
1344,145000
1345,174000
1346,118500
1347,190000
1348,255000
1349,187500
1350,140000
1351,145000
1352,140000
1353,145000
1354,336000
1355,348000
1356,158000
1357,100000
1358,145000
1359,151000
1360,374000
1361,140000
1362,315000
1363,110000
1364,174000
1365,151000
1366,155000
1367,220000
1368,155000
1369,140000
1370,270000
1371,118500
1372,158000
1373,214900
1374,440000
1375,385000
1376,318000
1377,110000
1378,145000
1379,100000
1380,174000
1381,110000
1382,140000
1383,140000
1384,140000
1385,110000
1386,110000
1387,235000
1388,140000
1389,206000
1390,140000
1391,214000
1392,110000
1393,118500
1394,140000
1395,264561
1396,336000
1397,140000
1398,140000
1399,139000
1400,127500
1401,140000
1402,174000
1403,159895
1404,206000
1405,140000
1406,145000
1407,129500
1408,100000
1409,140000
1410,190000
1411,206000
1412,132000
1413,145000
1414,172500
1415,140000
1416,159895
1417,140000
1418,284000
1419,155000
1420,140000
1421,140000
1422,140000
1423,140000
1424,158000
1425,140000
1426,140000
1427,348000
1428,145000
1429,110000
1430,167000
1431,174000
1432,155000
1433,110000
1434,145000
1435,145000
1436,140000
1437,110000
1438,385000
1439,140000
1440,140000
1441,145000
1442,140000
1443,339750
1444,96500
1445,206000
1446,140000
1447,155000
1448,226000
1449,115000
1450,84500
1451,145000
1452,250000
1453,148000
1454,108000
1455,206000
1456,181000
1457,167000
1458,234000
1459,128000
1460,139000
